id,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,lat,long,category_price,type_le,laundry_options_le,parking_options_le,state_le
7026190479,900,2,1.5,1,1,1,0,0,0,22.5962,-109.116,1,11,4,5,2
7031769262,1294,2,1.5,1,1,1,0,0,0,22.7545,-72.9888,0,11,4,2,3
7047875167,1100,2,2.0,0,0,0,0,0,0,23.6985,-96.028,0,2,5,1,22
7028422754,1400,4,2.0,0,0,1,0,0,0,24.4655,-104.238,0,6,4,5,32
7037174523,300,1,1.0,0,0,1,0,0,0,24.5481,-81.7971,0,0,3,6,9
7032335538,840,2,2.0,1,1,1,0,0,0,24.5521,-81.7556,0,0,2,5,9
7041827795,1000,2,1.5,0,0,0,0,0,1,24.5528,-81.7998,0,6,2,6,9
7024185959,2400,4,3.0,0,0,0,0,0,0,24.555,-81.782,0,6,5,1,9
7039650681,1088,3,2.0,0,0,1,0,0,1,24.5552,-81.7816,0,6,5,5,9
7046708670,700,1,1.0,1,0,0,0,0,0,24.5569,-81.7919,0,0,1,6,9
7033890556,600,1,1.0,0,0,0,0,0,0,24.5584,-81.793,0,0,2,6,9
7044003794,840,2,2.0,1,1,1,0,0,0,24.5586,-81.7507,0,0,2,5,9
7023955645,768,2,1.0,1,1,1,0,0,0,24.5586,-81.7506,0,0,2,5,9
7044775781,768,2,1.0,1,1,1,0,0,0,24.5587,-81.7507,0,0,2,5,9
7024956076,840,2,2.0,1,1,1,0,0,0,24.5587,-81.7508,0,0,2,5,9
7024664599,768,2,1.0,1,1,1,0,0,0,24.5587,-81.7506,0,0,2,5,9
7037355512,768,2,1.0,1,1,1,0,0,0,24.5588,-81.7508,0,0,2,5,9
7048261614,600,1,1.0,0,0,0,0,0,0,24.5591,-81.7997,0,0,1,6,9
7037435712,860,2,2.0,0,0,0,1,0,0,24.5615,-81.7535,0,0,5,1,9
7050042055,1000,1,1.0,1,1,0,0,0,1,24.5628,-81.772,0,3,5,5,9
7023167223,715,2,2.0,1,1,0,1,0,0,24.5639,-81.762,0,0,5,5,9
7028673254,500,1,1.0,0,0,0,0,0,0,24.5668,-81.741,0,0,2,5,9
7041431363,400,0,1.0,0,0,1,0,0,0,24.569,-81.7383,0,0,3,5,9
7048864556,1300,4,2.0,0,0,0,0,0,0,24.5693,-81.7447,0,6,4,5,9
7048732002,600,2,1.0,0,0,0,0,0,0,24.5697,-81.7362,0,0,0,5,9
7027031269,2600,3,2.0,1,1,1,0,0,0,24.5713,-81.7348,0,3,2,2,9
7028526999,1060,2,3.0,1,1,1,0,0,0,24.5756,-81.7398,0,0,0,0,9
7037206063,900,2,2.0,1,1,0,0,0,0,24.5771,-81.7439,0,11,2,6,9
7035454795,1700,4,2.0,0,0,0,0,0,0,24.5784,-81.7337,0,6,5,5,9
7026692154,1171,2,2.0,0,0,1,0,0,0,24.5819,-81.7486,0,0,2,5,9
